nearest:B 00:31:58.20 -09:08:14.5 0.073 0.018 0.909 0.0
nearest:B 00:32:15.70 +00:54:22.2 0.0 0.0 1.0 0.0
nearest:B 00:32:28.94 -09:34:38.0 0.0 0.0 1.0 0.0
nearest:B 00:33:14.82 +00:12:03.7 0.048 0.095 0.857 0.0
nearest:B 00:33:47.66 -01:02:40.1 0.038 0.057 0.887 0.0
nearest:B 00:33:51.61 -00:44:32.2 0.0 0.0 0.986 0.0
nearest:B 00:34:02.79 -09:42:19.2 0.0 0.032 0.968 0.0
nearest:B 00:34:53.45 -08:55:57.8 0.0 0.0 0.929 0.036
nearest:B 00:35:30.92 +15:33:22.6 0.0 0.0 0.943 0.0
nearest:B 00:35:45.38 +00:41:50.2 0.0 0.0 0.955 0.045
nearest:B 00:35:47.96 +15:07:45.4 0.087 0.043 0.826 0.0
nearest:B 00:36:01.99 -09:53:18.7 0.023 0.0 0.953 0.023
nearest:B 00:38:10.45 -00:40:43.5 0.088 0.059 0.824 0.0
nearest:B 00:38:21.22 +00:06:20.2 0.029 0.029 0.886 0.029
nearest:B 00:38:29.38 +14:31:53.5 0.061 0.091 0.818 0.03
nearest:B 00:38:55.92 -00:48:21.8 0.0 0.0 0.968 0.032
nearest:B 00:39:20.13 -10:28:55.5 0.0 0.0 1.0 0.0
nearest:B 00:39:29.03 -00:32:02.7 0.077 0.0 0.923 0.0
nearest:B 00:39:32.10 +16:05:01.4 0.0 0.03 0.97 0.0
nearest:B 00:39:34.83 +00:51:35.9 0.0 0.0 1.0 0.0
nearest:B 00:39:35.79 -09:11:40.3 0.031 0.0 0.938 0.015
nearest:B 00:39:38.61 -09:32:08.0 0.077 0.077 0.808 0.0
nearest:B 00:40:06.90 +00:40:59.3 0.059 0.059 0.882 0.0
nearest:B 00:40:13.35 +00:20:42.0 0.0 0.0 1.0 0.0
nearest:B 00:40:33.87 -00:34:23.8 0.033 0.1 0.833 0.033
nearest:B 00:40:37.85 -00:19:50.4 0.0 0.0 1.0 0.0
nearest:B 00:40:40.77 -10:55:29.8 0.037 0.111 0.852 0.0
nearest:B 00:40:57.54 +15:49:18.6 0.032 0.0 0.968 0.0
nearest:B 00:41:10.87 +00:39:18.1 0.0 0.0 0.969 0.0
nearest:B 00:41:36.30 +00:46:38.2 0.049 0.049 0.878 0.024
nearest:B 00:41:46.12 +01:10:37.4 0.0 0.0 0.985 0.0
nearest:B 00:41:49.30 -00:24:37.4 0.0 0.0 1.0 0.0
nearest:B 00:42:05.03 -09:32:04.0 0.0 0.0 1.0 0.0
nearest:B 00:42:15.88 +00:50:43.8 0.083 0.042 0.854 0.021
nearest:B 00:42:47.55 +15:42:51.1 0.031 0.109 0.828 0.031
nearest:B 00:42:48.27 -11:10:38.9 0.0 0.0 1.0 0.0
nearest:B 00:43:07.01 -09:26:48.8 0.125 0.0 0.875 0.0
nearest:B 00:43:25.92 +00:11:54.1 0.0 0.0 1.0 0.0
nearest:B 00:43:32.39 +14:20:33.2 0.0 0.0 1.0 0.0
nearest:B 00:43:38.76 -09:31:20.8 0.0 0.033 0.967 0.0
nearest:B 00:43:55.70 +00:59:30.7 0.094 0.062 0.844 0.0
nearest:B 00:44:11.73 -08:58:56.8 0.034 0.0 0.966 0.0
nearest:B 00:44:29.48 +01:06:30.3 0.0 0.042 0.917 0.0
nearest:B 00:44:42.40 +14:42:10.9 0.0 0.0 1.0 0.0
nearest:B 00:44:58.17 -09:15:46.1 0.067 0.017 0.917 0.0
nearest:B 00:44:59.24 -01:01:24.3 0.018 0.0 0.965 0.0
nearest:B 00:45:00.49 -10:34:36.3 0.0 0.185 0.815 0.0
nearest:B 00:45:07.17 +15:23:16.4 0.158 0.0 0.842 0.0
nearest:B 00:45:07.95 +00:21:16.0 0.0 0.0 0.897 0.0
nearest:B 00:45:22.30 +14:34:00.0 0.0 0.0 1.0 0.0
nearest:B 00:45:34.11 -09:22:58.2 0.0 0.023 0.93 0.047
nearest:B 00:45:45.78 +14:27:44.3 0.058 0.043 0.826 0.014
nearest:B 00:45:51.93 -09:19:41.6 0.0 0.057 0.886 0.057
nearest:B 00:46:17.71 +15:59:40.6 0.067 0.0 0.911 0.0
nearest:B 00:46:38.79 -08:43:51.4 0.052 0.034 0.828 0.069
nearest:B 00:46:55.31 -00:22:17.4 0.0 0.032 0.935 0.032
nearest:B 00:47:10.74 +00:32:02.0 0.087 0.014 0.899 0.0
nearest:B 00:47:19.39 +14:42:12.6 0.0 0.0 1.0 0.0
nearest:B 00:47:25.00 +00:20:13.8 0.0 0.0 0.969 0.0
nearest:B 00:47:35.13 +14:09:18.4 0.0 0.0 0.978 0.0
nearest:B 00:47:58.38 +13:46:49.2 0.0 0.105 0.86 0.018
nearest:B 00:48:19.55 -09:13:12.1 0.057 0.0 0.914 0.029
nearest:B 00:48:37.59 +01:14:51.6 0.061 0.0 0.909 0.03
nearest:B 00:49:06.52 -09:29:52.3 0.056 0.056 0.833 0.028
nearest:B 00:49:46.19 +00:27:11.3 0.074 0.037 0.815 0.0
nearest:B 00:50:13.55 +15:00:27.9 0.103 0.0 0.821 0.0
nearest:B 00:50:48.94 +00:39:31.4 0.033 0.0 0.933 0.017
nearest:B 00:51:12.18 +15:55:00.7 0.093 0.019 0.87 0.019
nearest:B 00:51:44.26 -09:15:03.9 0.0 0.0 1.0 0.0
nearest:B 00:51:51.97 -00:17:25.7 0.108 0.054 0.811 0.027
nearest:B 00:52:03.96 -10:27:26.7 0.027 0.027 0.946 0.0
nearest:B 00:52:09.85 -09:26:06.2 0.07 0.047 0.884 0.0
nearest:B 00:53:03.89 +15:06:42.7 0.036 0.018 0.909 0.0
nearest:B 00:53:04.77 -10:33:20.2 0.174 0.0 0.826 0.0
nearest:B 00:53:19.82 -10:54:03.0 0.074 0.0 0.852 0.0
nearest:B 00:53:29.92 -08:46:04.1 0.0 0.0 0.97 0.015
nearest:B 00:53:45.14 -09:06:35.2 0.024 0.024 0.878 0.0
nearest:B 00:54:07.21 -10:50:30.9 0.0 0.036 0.964 0.0
nearest:B 00:54:15.33 +01:04:39.9 0.032 0.048 0.81 0.032
nearest:B 00:55:11.68 +00:12:10.0 0.071 0.071 0.857 0.0
nearest:B 00:55:19.78 -10:32:27.5 0.077 0.103 0.821 0.0
nearest:B 00:55:22.96 -01:12:40.4 0.094 0.0 0.906 0.0
nearest:B 00:55:32.64 +14:10:03.0 0.033 0.0 0.867 0.0
nearest:B 00:55:36.01 -01:10:00.7 0.0 0.0 0.933 0.033
nearest:B 00:55:39.69 -00:52:36.0 0.027 0.081 0.811 0.054
nearest:B 00:55:47.30 -10:18:15.8 0.034 0.017 0.898 0.017
nearest:B 00:56:13.44 +15:00:27.6 0.075 0.019 0.887 0.0
nearest:B 00:56:14.35 -10:20:30.0 0.0 0.019 0.981 0.0
nearest:B 00:56:39.70 +13:42:57.1 0.044 0.0 0.889 0.022
nearest:B 00:56:40.40 -00:23:11.6 0.0 0.0 0.974 0.026
nearest:B 00:56:42.66 -09:54:49.9 0.0 0.0 1.0 0.0
nearest:B 00:56:42.87 +00:06:01.9 0.057 0.0 0.943 0.0
nearest:B 00:57:21.30 -10:28:27.1 0.0 0.0 1.0 0.0
nearest:B 00:57:35.14 -08:40:10.7 0.0 0.061 0.939 0.0
nearest:B 00:57:35.94 +14:36:05.3 0.019 0.038 0.923 0.019
nearest:B 00:57:49.85 +14:47:02.4 0.067 0.0 0.933 0.0
nearest:B 00:58:05.08 -10:46:47.7 0.029 0.0 0.971 0.0
nearest:B 00:58:14.46 -00:17:48.6 0.0 0.0 0.943 0.057
nearest:B 00:58:38.84 -10:07:09.6 0.027 0.0 0.919 0.0
